,Zeit,Vollständiger Name,Ereigniskontext,Komponente,Ereignisname,Herkunft
3114,8.11.2022 03:22,Student30,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
3128,8.11.2022 03:18,Student30,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
3130,8.11.2022 03:18,Student30,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
3147,8.11.2022 03:02,Student30,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
3149,8.11.2022 03:01,Student30,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
3166,8.11.2022 02:48,Student30,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
3168,8.11.2022 02:45,Student30,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
3180,8.11.2022 02:13,Student30,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
3183,8.11.2022 02:11,Student30,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
3192,8.11.2022 02:10,Student30,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
3194,8.11.2022 02:09,Student30,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
3205,8.11.2022 02:03,Student30,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
3207,8.11.2022 02:02,Student30,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
3216,8.11.2022 01:53,Student30,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
3218,8.11.2022 01:52,Student16,Test: Quiz 7,Test,Testversuch eingereicht,web
3222,8.11.2022 01:51,Student30,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
3234,8.11.2022 01:34,Student30,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
3246,8.11.2022 01:21,Student16,Test: Quiz 7,Test,Testversuch gestartet,web
3299,8.11.2022 00:08,Student11,Test: Quiz 4 (Kopie),Test,Testversuch eingereicht,web
3309,7.11.2022 23:57,Student11,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
3318,7.11.2022 23:46,Student25,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
3333,7.11.2022 23:41,Student25,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
3379,7.11.2022 22:51,Student11,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3386,7.11.2022 22:48,Student11,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3429,7.11.2022 21:41,Student11,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
3441,7.11.2022 21:28,Student11,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
3457,7.11.2022 21:06,Student9,Test: Quiz 4 (Kopie),Test,Testversuch eingereicht,web
3485,7.11.2022 19:07,Student34,Test: Quiz 7,Test,Testversuch gestartet,web
3487,7.11.2022 19:07,Student34,Test: Quiz 7,Test,Testversuch eingereicht,web
3510,7.11.2022 18:06,Student9,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
3513,7.11.2022 18:06,Student9,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3517,7.11.2022 18:02,Student5,Test: Quiz 7,Test,Testversuch eingereicht,web
3520,7.11.2022 18:00,Student9,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3522,7.11.2022 18:00,Student9,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
3551,7.11.2022 17:46,Student34,Test: Quiz 7,Test,Testversuch gestartet,web
3555,7.11.2022 17:45,Student34,Test: Quiz 7,Test,Testversuch eingereicht,web
3556,7.11.2022 17:45,Student9,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
3561,7.11.2022 17:45,Student9,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
3577,7.11.2022 17:39,Student9,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
3593,7.11.2022 17:36,Student5,Test: Quiz 7,Test,Testversuch gestartet,web
3596,7.11.2022 17:35,Student5,Test: Quiz 7,Test,Testversuch eingereicht,web
3604,7.11.2022 17:24,Student5,Test: Quiz 7,Test,Testversuch gestartet,web
3613,7.11.2022 17:04,Student34,Test: Quiz 7,Test,Testversuch gestartet,web
3629,7.11.2022 16:37,Student18,Test: Quiz 6 (Kopie),Test,Testversuch gestartet,web
3631,7.11.2022 16:36,Student18,Test: Quiz 5 (Kopie),Test,Testversuch eingereicht,web
3639,7.11.2022 16:18,Student11,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
3649,7.11.2022 16:16,Student11,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
3665,7.11.2022 15:31,Student9,Test: Quiz 7,Test,Testversuch eingereicht,web
3692,7.11.2022 15:10,Student9,Test: Quiz 7,Test,Testversuch gestartet,web
